Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
COMPUTATIONAL INTELLIGENCE,COMPUTATIONAL INTELLIGENCE,0824-7935,1467-8640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",756,1.196
ARTIFICIAL LIFE,ARTIFICIAL LIFE,1064-5462,1530-9185,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",835,1.186
APPLIED ARTIFICIAL INTELLIGENCE,APPLIED ARTIFICIAL INTELLIGENCE,0883-9514,1087-6545,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",807,1.172
CONSTRAINTS,CONSTRAINTS,1383-7133,1572-9354,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",255,1.167
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,0890-0604,1469-1760,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",634,1.119
Advances in Electrical and Computer Engineering,Advances in Electrical and Computer Engineering,1582-7445,1844-7600,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",387,1.102
CONNECTION SCIENCE,CONNECTION SCIENCE,0954-0091,1360-0494,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",413,1.042
AI COMMUNICATIONS,AI COMMUNICATIONS,0921-7126,1875-8452,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",429,1.0
International Journal of Applied Mathematics and Computer Science,International Journal of Applied Mathematics and Computer Science,1641-876X,2083-8492,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,075",0.967
ADAPTIVE BEHAVIOR,ADAPTIVE BEHAVIOR,1059-7123,1741-2633,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",607,0.929
Information Technology and Control,Information Technology and Control,1392-124X,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",267,0.905
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,0218-1940,1793-6403,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",535,0.886
Applied Ontology,Applied Ontology,1570-5838,1875-8533,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",193,0.852
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,1012-2443,1573-7470,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",806,0.778
Malaysian Journal of Computer Science,Malaysian Journal of Computer Science,0127-9084,0127-9084,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",119,0.723
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,1542-3980,1542-3999,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",440,0.703
International Journal on Artificial Intelligence Tools,International Journal on Artificial Intelligence Tools,0218-2130,1793-6349,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",495,0.689
Turkish Journal of Electrical Engineering and Computer Sciences,Turkish Journal of Electrical Engineering and Computer Sciences,1300-0632,1303-6203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,315",0.682
Intelligent Data Analysis,Intelligent Data Analysis,1088-467X,1571-4128,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,000",0.651
Neural Network World,Neural Network World,1210-0552,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",289,0.635
Biologically Inspired Cognitive Architectures,Biologically Inspired Cognitive Architectures,N/A,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",163,0.613
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,1064-2307,1555-6530,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",447,0.538
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMPUTATION IN NEURAL SYSTEMS,0954-898X,1361-6536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",761,0.5
COMPUTING AND INFORMATICS,COMPUTING AND INFORMATICS,1335-9150,1335-9150,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",350,0.496
International Arab Journal of Information Technology,International Arab Journal of Information Technology,1683-3198,1683-3198,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",645,0.467
Journal of Logic Language and Information,Journal of Logic Language and Information,0925-8531,1572-9583,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",274,0.44
